TIME_1,RE_1,LE_1
2005-01-15 11:09:27.0998,-9,0.2
2005-01-15 11:09:27.1003,-9,0
2005-01-15 11:09:27.1009,-8.9,0
2005-01-15 11:09:27.1015,-9,-0.2
2005-01-15 11:09:27.1021,-8.9,-0.3
2005-01-15 11:09:27.1027,-8.9,-0.3
2005-01-15 11:09:27.1033,-8.8,-0.2
2005-01-15 11:09:27.1039,-8.6,-0.1
2005-01-15 11:09:27.1045,-8.4,0
2005-01-15 11:09:27.1051,-8.3,0.2
2005-01-15 11:09:27.1057,-8.2,0.4
2005-01-15 11:09:27.1062,-8.1,0.6
2005-01-15 11:09:27.1068,-8.2,0.7
2005-01-15 11:09:27.1074,-8.2,0.8
2005-01-15 11:09:27.1080,-8.3,1
2005-01-15 11:09:27.1086,-8.4,0.9
2005-01-15 11:09:27.1092,-8.5,1
2005-01-15 11:09:27.1098,-8.5,1
2005-01-15 11:09:27.1104,-8.3,1.1
2005-01-15 11:09:27.1110,-8.1,1.3
2005-01-15 11:09:27.1116,-8,1.2
2005-01-15 11:09:27.1122,-7.8,1.2
2005-01-15 11:09:27.1127,-7.7,1.2
2005-01-15 11:09:27.1133,-7.6,1.1
2005-01-15 11:09:27.1139,-7.5,1.2
2005-01-15 11:09:27.1145,-7.3,1.3
2005-01-15 11:09:27.1151,-7.4,1.5
2005-01-15 11:09:27.1157,-7.3,1.8
2005-01-15 11:09:27.1163,-7.3,2
2005-01-15 11:09:27.1169,-7.3,2.1
2005-01-15 11:09:27.1175,-7.4,2.1
2005-01-15 11:09:27.1181,-7.6,2.1
2005-01-15 11:09:27.1186,-7.6,2.1
2005-01-15 11:09:27.1192,-7.7,2.1
2005-01-15 11:09:27.1198,-7.6,2
2005-01-15 11:09:27.1204,-7.5,2
2005-01-15 11:09:27.1210,-7.6,1.9
2005-01-15 11:09:27.1216,-7.7,2.1
2005-01-15 11:09:27.1222,-7.8,2.1
2005-01-15 11:09:27.1228,-7.8,2.1
2005-01-15 11:09:27.1234,-7.9,2.1
2005-01-15 11:09:27.1240,-7.9,2.2
2005-01-15 11:09:27.1245,-8,2.2
2005-01-15 11:09:27.1251,-8.1,2.2
2005-01-15 11:09:27.1257,-8.2,2
2005-01-15 11:09:27.1263,-8.3,2
2005-01-15 11:09:27.1269,-8.3,2.1
2005-01-15 11:09:27.1275,-8.3,2.1
2005-01-15 11:09:27.1281,-8.3,2.2
2005-01-15 11:09:27.1287,-8.1,2.1
2005-01-15 11:09:27.1293,-8,2.2
2005-01-15 11:09:27.1299,-8,2.1
